artist,spotify_id,id
Linnea Olsson,1232728199,10400
Lily Allen,1232728199,10409
Yuna,1232728199,10418
Slash,1232728199,10428
Roo Panes,1232728199,10438
Kokolo,1232728199,10447
6ix Toys,1232728199,10457
Porter Robinson,1232728199,10467
Kaskade,1232728199,10476
Fetty Wap,1232728199,10487
Jace of Two-9,1232728199,10496
Death Cab for Cutie,1232728199,10507
Jack Ü,1232728199,10517
Who Is Fancy,1232728199,10530
The New Basement Tapes,1232728199,10537
Clairity,1232728199,10546
Allday,1232728199,10557
Modern Space,1232728199,10568
NxWorries,1232728199,10576
M. Ward,1232728199,10587
Rakaa Iriscience,1233904087,17284
Blended Babies,1233904087,17285
Anderson Paak,1233904087,17286
Asher Roth,1233904087,17287
Donnie Trumpet,1233904087,17288
Isaiah Rashad,1233904087,17289
Jazz Spastiks,1233904087,17290
Apani B Fly,1233904087,17291
S Dot Braddy,1233904087,17292
Pouya,1233904087,17293
Hippie Sabotage,1233904087,17294
Alex Wiley,1233904087,17295
Boogie,1233904087,17296
Bobby Grant,1233904087,17297
Solo Lucci,1233904087,17298
Run The Jewels,1233904087,17299
Mimosa,1233904087,17300
Bun B,1233904087,17301
Open Mike Eagle,1233904087,17302
Gold Panda,1233904087,17303
FreeSol,1233904087,17304
Common Kings,1233904087,17305
Quasimoto,1233904087,17306
Scienze,1233904087,17307
Tablo,1233904087,17308
Joey Bada$$,1233904087,17309
Soul Khan,1233904087,17310
MajorMotion,1233904087,17311
Homeboy Sandman,1233904087,17312
After The Smoke,1233904087,17313
Foreign Allegiance,1233904087,17314
O'Shea Jackson Jr.,1233904087,17315
Perpetual Groove,1233904087,17316
88-Keys,1233904087,17317
Kanye West,1233904087,17318
Super Groupie,1233904087,17319
Cailin Russo,1233904087,17320
BROCKHAMPTON,1233904087,17321
Hit Boy,1233904087,17322
M-Ro & R Jeez,1233904087,17323
CT,1233904087,17324
Nappy Roots,1233904087,17325
DJ RPM,1233904087,17326
Chubby Jag,1233904087,17327
King Fantastic,1233904087,17328
Glass Animals,1233904087,17329
Sweater Beats,1233904087,17330
Erin Marshall,1233904087,17331
Common,1233904087,17332
J Dilla,1233904087,17333
Common Market,1233904087,17334
Magic City Hippies,1233904087,17335
The Good Husbands,1233904087,17336
Scarlet Parke,1233904087,17337
Jitta On The Track,1233904087,17338
Bukkweat Bill,1233904087,17339
Waldo,1233904087,17340
Tom Misch,1233904087,17341
Loyle Carner,1233904087,17342
Tru Heru,1233904087,17343
Jay Rock,1233904087,17344
Berner,1233904087,17345
Jimi Tents,1233904087,17346
Jay Bel,1233904087,17347
Dave East,1233904087,17348
$kinny,1233904087,17349
dEnAuN,1233904087,17350
